Race #,Season,Week,Date,Car,Series,Track,Qualified,Race finish,Win,Podium,Race SOF,Chmpship pts,Division,Inc,Laps,Avg lap time,Fastest Lap time,SR change,iR change,SR post race,iR post race,Protestee,Protest upheld,Note
1,2021 S3,W01,2021-06-16,SRF,,Laguna Seca,5,7,0,0,1887,43,4,1,16,1.39.283,1.36.659,0.10000000000000001,-2,3.5800000000000001,1489,,,
2,2021 S3,W01,2021-06-18,USF2000,,Tsukuba,12,10,0,0,1294,37,4,0,16,0.57.235,0.56.397,0.14999999999999999,-15,3.73,1474,,,
3,2021 S3,W01,2021-06-18,SRF,,Laguna Seca,4,3,0,1,1006,49,4,0,16,1.39.018,1.37.687,0.13,33,3.8599999999999999,1507,,,
4,2021 S3,W01,2021-06-18,911GT3Cup991,,Nordschleife,,11,0,0,1543,52,4,1,4,7.34.237,7.25.889,0.56999999999999995,10,4.4299999999999997,1517,,,
5,2021 S3,W01,2021-06-18,SRF,,Laguna Seca,10,13,0,0,2309,5,4,4,16,1.39.906,1.36.902,-0.10000000000000001,-62,4.3300000000000001,1455,,,
6,2021 S3,W01,2021-06-19,911GT3Cup991,,Nordschleife,,10,0,0,1434,50,4,10,4,8.09.793,7.49.764,-0.26000000000000001,12,4.0700000000000003,1467,,,
7,2021 S3,W01,2021-06-19,SRF,,Laguna Seca,9,7,0,0,1496,44,4,8,16,1.40.540,1.36.740,-0.62,1,3.4500000000000002,1468,,,
8,2021 S3,W01,2021-06-19,911GT3Cup991,,Nordschleife,,9,0,0,1430,55,4,5,4,7.29.518,7.22.601,-2.9999999999999999e-02,20,3.4200000000000004,1488,,,
9,2021 S3,W01,2021-06-19,SRF,,Laguna Seca,8,10,0,0,1996,42,4,3,16,1.38.649,1.36.761,1.e-02,-6,3.4300000000000002,1482,,,
10,2021 S3,W02,2021-06-22,SRF,,Nordschleife,10,10,0,0,2103,22,4,6,3,8.35.348,,-0.13,-34,3.3000000000000003,1448,,,tow
11,2021 S3,W02,2021-06-22,SRF,,Nordschleife,1,3,0,1,1178,64,4,2,3,8.17.209,8.12.585,7.0000000000000007e-02,60,3.3900000000000001,1508,,,SR changed by TT
12,2021 S3,W02,2021-06-24,SRF,,Nordschleife,,11,0,0,1237,28,4,4,3,8.15.233,8.15.233,-2.e-02,-36,3.3700000000000001,1472,Ross Eastaugh,Yes. Ban,Ross Eastaugh threatened to take me out. Protested.
13,2021 S3,W02,2021-06-25,SRF,,Nordschleife,,1,1,1,1171,71,4,0,3,8.12.182,8.10.354,0.16,78,3.5300000000000002,1550,,,"3 splits, bottom split"
14,2021 S3,W02,2021-06-27,911GT3R,,Hockenheim - GP,14,15,0,0,1645,17,4,8,12,1.45.027,1.41.606,-0.22,-56,3.3100000000000001,1494,,,"First GT3 race, didn't have the pace"
15,2021 S3,W02,2021-06-28,Ford GTE,,Spa - GP,16,14,0,0,1436,24,4,10,20,2.23.390,2.20.754,-0.10000000000000001,-45,3.21,1449,,,"First GTE race, didn't have the pace. One repairs due to own fault"
16,2021 S3,W03,2021-07-02,Ford GTE,,Nurburgring - Combined,,32,0,0,1700,2,4,2,1,,,8.0000000000000002e-02,-80,3.29,1369,,,"2nd GTE race, pressured into error, then tow and 30min required repairs. Rejoined race and blew engine"
17,2021 S3,W03,2021-07-02,USF2000,,New Hampshire - Road South Oval,6,5,0,0,1652,46,4,1,16,1.03.327,1.01.831,0.14999999999999999,11,3.4399999999999999,1380,,,
18,2021 S3,W03,2021-07-03,911GT3Cup991,,Mosport,10,13,0,0,1115,9,4,9,9,1.25.979,1.22.555,-0.31,-80,3.1299999999999999,1300,,,"Self crashed out, 8 min of req repairs"
